code,system
14C1.00,readv2
1956,readv2
14C1.11,readv2
7627200,readv2
J12..00,readv2
J122.00,readv2
J123.00,readv2
J124.00,readv2
J12z.00,readv2
14C1.12,readv2
7612111,readv2
7612500,readv2
J11..00,readv2
J11z.00,readv2
J11z.12,readv2
J17y800,readv2
761D500,readv2
761D600,readv2
761J.00,readv2
761Jz00,readv2
7627,readv2
7627z00,readv2
761J.11,readv2
761J000,readv2
761J100,readv2
7627000,readv2
761J111,readv2
7627100,readv2
761Jy00,readv2
7627y00,readv2
J110y00,readv2
J111y00,readv2
J11y.00,readv2
J11y000,readv2
J11y100,readv2
J11y200,readv2
J11y400,readv2
J11yz00,readv2
J120y00,readv2
J121y00,readv2
J12y.00,readv2
J12y000,readv2
J12y100,readv2
J12y200,readv2
J12y300,readv2
J12y400,readv2
J12yz00,readv2
J13..00,readv2
J130y00,readv2
J131y00,readv2
J13y.00,readv2
J13y000,readv2
J13y100,readv2
J13y200,readv2
J13y300,readv2
J13y400,readv2
J13yz00,readv2
J14y.00,readv2
J14y100,readv2
J14y200,readv2
J14yz00,readv2
J102000,readv2
J11..11,readv2
J11..12,readv2
J13..11,readv2
J13z.00,readv2
J14..12,readv2
J14..15,readv2
J110.00,readv2
J110z00,readv2
J120.00,readv2
J120z00,readv2
J130.00,readv2
J130z00,readv2
J110000,readv2
J111000,readv2
J120000,readv2
J121000,readv2
J130000,readv2
J131000,readv2
J110100,readv2
J111100,readv2
J120100,readv2
J121100,readv2
J130100,readv2
J131100,readv2
J110111,readv2
J111111,readv2
J121111,readv2
J110200,readv2
J110300,readv2
J111200,readv2
J111300,readv2
J120200,readv2
J120300,readv2
J121200,readv2
J121300,readv2
J130200,readv2
J130300,readv2
J131200,readv2
J111.00,readv2
J111z00,readv2
J121.00,readv2
J121z00,readv2
J131.00,readv2
J131z00,readv2
J111211,readv2
J121211,readv2
J111400,readv2
J120400,readv2
J121400,readv2
J131400,readv2
J112.00,readv2
J112z00,readv2
J125.00,readv2
J113.00,readv2
J126.00,readv2
J11yy00,readv2
J12yy00,readv2
J14..00,readv2
J140.00,readv2
J140100,readv2
J140200,readv2
J140300,readv2
J140z00,readv2
J141.00,readv2
J14z.00,readv2
ZV12711,readv2
ZV12712,readv2
ZV12C00,readv2